query,method,rank,doc_title,doc_index,doc_text_snippet,bm25_score,dense_score,hybrid_score,relevance_type
When was the Eiffel Tower constructed and by whom,dense_only,3,Czartoryski Palace (Vienna),6119,"czartoryski-schlössel (schlössel is roughly translatable as ""small palace"") was a palace called weinhaus in the währing district of vienna, austria. it was built in 1807 for the banker friedrich jakob",0.73922212064157,0.9017822742462158,0.9017822742462158,not_relevant
When was the Eiffel Tower constructed and by whom,dense_only,4,Palace of Monimail,6126,"the palace of monimail, also known as monimail tower, was a renaissance palace in fife, scotland. a residence of the archbishops of st andrews from the 13th century, in the early 17th century monimail",0.8824569869418873,0.899484395980835,0.899484395980835,partial
When was the Eiffel Tower constructed and by whom,dense_only,5,Königsberg Castle,5473,"the königsberg castle (, ) was one of the landmarks of the east prussian capital königsberg, germany (since 1946 kaliningrad, russia).  history   the site of the castle was originally an old prussian ",0.8745954725253496,0.8966944217681885,0.8966944217681885,not_relevant
When was the Eiffel Tower constructed and by whom,dense_only,6,Pelișor Castle,7650,"the pelișor castle (romanian: castelul pelișor, ) is a castle in sinaia, romania, part of the same complex as the larger castle of peleș.  history   the castle was built in 1899–1902 by order of king ",0.7230164659648473,0.8672181367874146,0.8672181367874146,not_relevant
When was the Eiffel Tower constructed and by whom,dense_only,7,Bank of China Tower (Hong Kong),1999,"the bank of china tower (boc tower) is a skyscraper located in central, hong kong. located at 1 garden road on hong kong island, the tower houses the headquarters of the bank of china (hong kong) limi",0.8830642384118623,0.8513245582580566,0.8513245582580566,relevant
When was the Eiffel Tower constructed and by whom,dense_only,8,Hadrian's Gate,6712,"hadrian's gate (, meaning ""the three gates"") is a memorial gate located in antalya, turkey, which was built in the name of the roman emperor hadrian, who visited the city in 130 ce. it was later incor",0.72120490781432,0.8416391015052795,0.8416391015052795,not_relevant
When was the Eiffel Tower constructed and by whom,dense_only,9,GWR 4073 Class 4073 Caerphilly Castle,4033,"caerphilly castle is a member of the gwr 4073 class built in 1923.  in service the lead locomotive of its class, after a brief period of running-in service, between april and october 1924, the locomot",0.6704368995729566,0.8382611274719238,0.8382611274719238,not_relevant
When was the Eiffel Tower constructed and by whom,dense_only,10,Eriswil,7091,eriswil is a municipality in the emmental administrative district in the swiss canton of bern.  history eriswil is first mentioned in 1256 as erolzwile.  very little is known about the early history o,0.7371173218054824,0.835497260093689,0.835497260093689,not_relevant
When was the Eiffel Tower constructed and by whom,hybrid_weighted_sum,1,Buckingham Palace,1675,"buckingham palace () is a royal residence in london and the administrative headquarters of the monarch of the united kingdom. located in the city of westminster, the palace is often at the centre of s",0.8840681012366164,0.9248303174972534,0.904449209366935,not_relevant
When was the Eiffel Tower constructed and by whom,hybrid_weighted_sum,2,Palace of Monimail,6126,"the palace of monimail, also known as monimail tower, was a renaissance palace in fife, scotland. a residence of the archbishops of st andrews from the 13th century, in the early 17th century monimail",0.8824569869418873,0.899484395980835,0.8909706914613611,partial
When was the Eiffel Tower constructed and by whom,hybrid_weighted_sum,3,Königsberg Castle,5473,"the königsberg castle (, ) was one of the landmarks of the east prussian capital königsberg, germany (since 1946 kaliningrad, russia).  history   the site of the castle was originally an old prussian ",0.8745954725253496,0.8966944217681885,0.8856449471467691,not_relevant
When was the Eiffel Tower constructed and by whom,hybrid_weighted_sum,4,Abbey of Saint Peter in the Black Forest,7336,"st peter's abbey in the black forest or st. peter's abbey, schwarzwald () is a former benedictine monastery in the village of st. peter im schwarzwald, in the district of breisgau-hochschwarzwald, bad",0.9942114792856525,0.7466962337493896,0.870453856517521,not_relevant
When was the Eiffel Tower constructed and by whom,hybrid_weighted_sum,5,Bank of China Tower (Hong Kong),1999,"the bank of china tower (boc tower) is a skyscraper located in central, hong kong. located at 1 garden road on hong kong island, the tower houses the headquarters of the bank of china (hong kong) limi",0.8830642384118623,0.8513245582580566,0.8671943983349595,relevant
When was the Eiffel Tower constructed and by whom,hybrid_weighted_sum,6,Alexanderplatz,1026,"() () is a large public square and transport hub in the central mitte district of berlin. the square is named after the russian tsar alexander i, which also denotes the larger neighbourhood stretching",0.8947552953165673,0.8307729959487915,0.8627641456326793,not_relevant
When was the Eiffel Tower constructed and by whom,hybrid_weighted_sum,7,Heeze Castle,8857,"heeze castle () is situated in the netherlands, south of eindhoven. it used to be the centre of the seigneury of heeze, leende and zesgehuchten, part of the duchy of brabant. in the middle ages, it wa",0.7126415537739903,1.0,0.8563207768869951,not_relevant
When was the Eiffel Tower constructed and by whom,hybrid_weighted_sum,8,Hohenzollern Castle,9748,"hohenzollern castle ( ) is the ancestral seat of the imperial house of hohenzollern. the third of three hilltop castles built on the site, it is located atop mount hohenzollern, above and south of hec",0.9149687684874398,0.7862467765808105,0.8506077725341252,not_relevant
When was the Eiffel Tower constructed and by whom,hybrid_weighted_sum,9,Si-o-se-pol,3085,"the allahverdi khan bridge (), popularly known as si-o-se-pol (), is the largest of the eleven historical bridges on the zayanderud, the largest river of the iranian plateau, in isfahan, iran.  the br",0.8620093041385476,0.8315458297729492,0.8467775669557485,not_relevant
When was the Eiffel Tower constructed and by whom,hybrid_weighted_sum,10,Allahabad Fort,3582,"allahabad fort is a fort built by the mughal emperor akbar at prayagraj in 1583. the fort stands on the banks of the yamuna, near its confluence with the ganges. it is classified by the archaeological",0.9525922095513079,0.722590446472168,0.837591328011738,not_relevant
When was the Eiffel Tower constructed and by whom,hybrid_rrf,1,Abbey of Saint Peter in the Black Forest,7336,"st peter's abbey in the black forest or st. peter's abbey, schwarzwald () is a former benedictine monastery in the village of st. peter im schwarzwald, in the district of breisgau-hochschwarzwald, bad",0.9942114792856525,0.7466962337493896,0.026399331662489554,not_relevant
When was the Eiffel Tower constructed and by whom,hybrid_rrf,2,Hohenzollern Castle,9748,"hohenzollern castle ( ) is the ancestral seat of the imperial house of hohenzollern. the third of three hilltop castles built on the site, it is located atop mount hohenzollern, above and south of hec",0.9149687684874398,0.7862467765808105,0.021917487107360523,not_relevant
When was the Eiffel Tower constructed and by whom,hybrid_rrf,3,Allahabad Fort,3582,"allahabad fort is a fort built by the mughal emperor akbar at prayagraj in 1583. the fort stands on the banks of the yamuna, near its confluence with the ganges. it is classified by the archaeological",0.9525922095513079,0.722590446472168,0.021682665160926033,not_relevant
When was the Eiffel Tower constructed and by whom,hybrid_rrf,4,Buckingham Palace,1675,"buckingham palace () is a royal residence in london and the administrative headquarters of the monarch of the united kingdom. located in the city of westminster, the palace is often at the centre of s",0.8840681012366164,0.9248303174972534,0.020936724565756824,not_relevant
When was the Eiffel Tower constructed and by whom,hybrid_rrf,5,"St Ignatius' Church, Richmond",4471,"st ignatius' church, richmond is a roman catholic church located in the melbourne suburb of richmond, victoria, australia. it is one of the largest churches in melbourne outside of the central busines",0.9118109362199869,0.7557358741760254,0.020213193885760258,not_relevant
When was the Eiffel Tower constructed and by whom,hybrid_rrf,6,Manulife Place,3380,"manulife place is a highrise office building and shopping mall in edmonton, alberta, canada. it was completed in 1983 and designed by clifford lawrie bolton ritchie architects. it is located at the co",0.921078637457946,0.739486575126648,0.020202020202020204,not_relevant
When was the Eiffel Tower constructed and by whom,hybrid_rrf,7,Palace of Monimail,6126,"the palace of monimail, also known as monimail tower, was a renaissance palace in fife, scotland. a residence of the archbishops of st andrews from the 13th century, in the early 17th century monimail",0.8824569869418873,0.899484395980835,0.020089285714285712,partial
When was the Eiffel Tower constructed and by whom,hybrid_rrf,8,Alexanderplatz,1026,"() () is a large public square and transport hub in the central mitte district of berlin. the square is named after the russian tsar alexander i, which also denotes the larger neighbourhood stretching",0.8947552953165673,0.8307729959487915,0.01994949494949495,not_relevant
When was the Eiffel Tower constructed and by whom,hybrid_rrf,9,Driskill Hotel,5263,"the driskill, a romanesque-style building completed in 1886, is the oldest operating hotel in austin, texas, united states, and one of the best-known hotels in texas generally. the driskill was concei",0.9449126608514798,0.7006417512893677,0.019642857142857142,not_relevant
When was the Eiffel Tower constructed and by whom,hybrid_rrf,10,Bank of China Tower (Hong Kong),1999,"the bank of china tower (boc tower) is a skyscraper located in central, hong kong. located at 1 garden road on hong kong island, the tower houses the headquarters of the bank of china (hong kong) limi",0.8830642384118623,0.8513245582580566,0.01955500276395799,relevant
What country did Marie Curie emigrate from to study in Paris,bm25_only,1,The Ballad of the Green Berets,2102,"""the ballad of the green berets"" is a patriotic song in the ballad style about the united states army special forces. it is one of the few popular songs of the vietnam war years to cast the military i",1.0,0.3149716258049011,1.0,not_relevant
What country did Marie Curie emigrate from to study in Paris,bm25_only,2,Economy of Angola,81,"the economy of angola remains heavily influenced by the effects of four decades of conflict in the last part of the 20th century, the war for independence from portugal (1961–75) and the subsequent ci",0.9919639172466393,0.40019285678863525,0.9919639172466393,partial
What country did Marie Curie emigrate from to study in Paris,bm25_only,3,Genetically modified maize,1968,"genetically modified maize (corn) is a genetically modified crop. specific maize strains have been genetically engineered to express agriculturally-desirable traits, including resistance to pests and ",0.9767730294985892,0.4166838526725769,0.9767730294985892,not_relevant
What country did Marie Curie emigrate from to study in Paris,bm25_only,4,Gustav Simon,7464,"gustav simon (2 august 1900– 18 december 1945) was a nazi party official who served as gauleiter of gau moselland from 1931 to 1945 and, from 1940 until 1942, as chief of civil administration in occup",0.9751196831071857,0.6093245148658752,0.9751196831071857,partial
What country did Marie Curie emigrate from to study in Paris,bm25_only,5,Progressive Canadian Party candidates in the 2006 Canadian federal election,7891,"the progressive canadian party fielded several candidates in the 2006 federal election, none of whom were elected.  information about these candidates may be found on this page.  quebec  outremont: ph",0.9665421540991986,0.5153101682662964,0.9665421540991986,not_relevant
What country did Marie Curie emigrate from to study in Paris,bm25_only,6,Edna Lewis,8256,"edna regina lewis (april 13, 1916 – february 13, 2006) was a renowned  american chef, teacher, and author who helped refine the american view of southern cooking. she championed the use of fresh, in s",0.9649594227540583,0.7244369983673096,0.9649594227540583,not_relevant
What country did Marie Curie emigrate from to study in Paris,bm25_only,7,Health care prices in the United States,7771,"health care prices in the united states of america describe market and non-market factors that determine pricing, along with possible causes as to why prices are higher than in other countries.   comp",0.9539819845999066,0.41951367259025574,0.9539819845999066,not_relevant
What country did Marie Curie emigrate from to study in Paris,bm25_only,8,Tied aid,7324,tied aid is foreign aid that must be spent on products & services provided by companies that are from the country providing the aid (the donor country) or in a group of selected countries. a developed,0.94773925155071,0.5426292419433594,0.94773925155071,partial
What country did Marie Curie emigrate from to study in Paris,bm25_only,9,Boers,2225,"boers ( ;  () are the descendants of the proto afrikaans-speaking free burghers of the eastern cape frontier in southern africa during the 17th, 18th, and 19th centuries. from 1652 to 1795, the dutch ",0.9439241151541772,0.4325511157512665,0.9439241151541772,partial
What country did Marie Curie emigrate from to study in Paris,bm25_only,10,The Burrow (short story),6687,"""the burrow"" (german: ""der bau"") is an unfinished short story by franz kafka written six months before his death. in the story a badger-like creature struggles to secure the labyrinthine burrow he has",0.9390850497316084,0.3179783523082733,0.9390850497316084,not_relevant
What country did Marie Curie emigrate from to study in Paris,dense_only,1,Alain Connes,15,"alain connes (; born 1 april 1947 in draguignan) is a french mathematician, known for his contributions to the study of operator algebras and noncommutative geometry. he is a professor at the , , ohio",0.7444229703189552,0.9999998807907104,0.9999998807907104,partial
What country did Marie Curie emigrate from to study in Paris,dense_only,2,Erika Böhm-Vitense,2796,"erika helga ruth böhm-vitense (june 3, 1923 – january 21, 2017) was a german-born american astrophysicist known for her work on cepheid variables and convection in stellar atmospheres.  early life böh",0.6107961733612758,0.9827466011047363,0.9827466011047363,not_relevant
What country did Marie Curie emigrate from to study in Paris,dense_only,3,Anne Catherine of Brandenburg,5676,anne catherine of brandenburg (26 june 1575 – 8 april 1612) was queen of denmark and norway from 1597 to 1612 as the first spouse of king christian iv of denmark.  life  anne catherine was born in hal,0.606427036466962,0.9532136917114258,0.9532136917114258,partial
What country did Marie Curie emigrate from to study in Paris,dense_only,4,Collège Stanislas de Paris,6304,"the collège stanislas de paris (), colloquially known as stan, is a highly selective private catholic school in paris, situated on ""rue notre-dame-des-champs"" in the 6th arrondissement. it has more th",0.5869883286536198,0.9509409666061401,0.9509409666061401,relevant
What country did Marie Curie emigrate from to study in Paris,dense_only,5,Sophie Magdalene of Brandenburg-Kulmbach,6886,sophie magdalene of brandenburg-kulmbach (28 november 1700 – 27 may 1770) was queen of denmark and norway by marriage to king christian vi of denmark and norway.  life  early life  she was born in cas,0.5862250041141424,0.9400098323822021,0.9400098323822021,not_relevant
What country did Marie Curie emigrate from to study in Paris,dense_only,6,Pierre-Alexandre Monsigny,3063,pierre-alexandre monsigny ( – ) was a french composer and a member of the french académie des beaux-arts (1813).  he is considered alongside andré grétry and françois-andré danican philidor to have be,0.5293442617633849,0.9354139566421509,0.9354139566421509,not_relevant
What country did Marie Curie emigrate from to study in Paris,dense_only,7,Anaïs Nin,1235,"angela anaïs juana antolina rosa edelmira nin y culmell ( , ; february 21, 1903 – january 14, 1977) was a french-born american diarist, essayist, novelist, and writer of short stories and erotica. bor",0.8129514627850688,0.9275690317153931,0.9275690317153931,not_relevant
What country did Marie Curie emigrate from to study in Paris,dense_only,8,Charlotte Amalie of Hesse-Kassel,5774,"charlotte amalie of hesse-kassel (27 april 1650 – 27 march 1714) was queen of denmark and norway by marriage to king christian v. although she did not have much political influence, she was a successf",0.6782937758211534,0.9264578819274902,0.9264578819274902,not_relevant
What country did Marie Curie emigrate from to study in Paris,dense_only,9,Alexis Carrel,235,alexis carrel (; 28 june 1873 – 5 november 1944) was a french surgeon and biologist who was awarded the nobel prize in physiology or medicine in 1912 for pioneering vascular suturing techniques. he in,0.8163529769273555,0.9190691709518433,0.9190691709518433,not_relevant
What country did Marie Curie emigrate from to study in Paris,dense_only,10,Edith Somerville,7328,"edith anna œnone somerville (2 may 1858 – 8 october 1949) was an irish novelist who habitually signed herself as ""e. œ. somerville"". she wrote in collaboration with her cousin ""martin ross"" (violet ma",0.8546583945589559,0.9152641296386719,0.9152641296386719,not_relevant
What country did Marie Curie emigrate from to study in Paris,hybrid_weighted_sum,1,Edith Somerville,7328,"edith anna œnone somerville (2 may 1858 – 8 october 1949) was an irish novelist who habitually signed herself as ""e. œ. somerville"". she wrote in collaboration with her cousin ""martin ross"" (violet ma",0.8546583945589559,0.9152641296386719,0.8849612620988139,not_relevant
What country did Marie Curie emigrate from to study in Paris,hybrid_weighted_sum,2,Alain Connes,15,"alain connes (; born 1 april 1947 in draguignan) is a french mathematician, known for his contributions to the study of operator algebras and noncommutative geometry. he is a professor at the , , ohio",0.7444229703189552,0.9999998807907104,0.8722114255548328,partial
What country did Marie Curie emigrate from to study in Paris,hybrid_weighted_sum,3,Anaïs Nin,1235,"angela anaïs juana antolina rosa edelmira nin y culmell ( , ; february 21, 1903 – january 14, 1977) was a french-born american diarist, essayist, novelist, and writer of short stories and erotica. bor",0.8129514627850688,0.9275690317153931,0.870260247250231,not_relevant
What country did Marie Curie emigrate from to study in Paris,hybrid_weighted_sum,4,Alexis Carrel,235,alexis carrel (; 28 june 1873 – 5 november 1944) was a french surgeon and biologist who was awarded the nobel prize in physiology or medicine in 1912 for pioneering vascular suturing techniques. he in,0.8163529769273555,0.9190691709518433,0.8677110739395995,not_relevant
What country did Marie Curie emigrate from to study in Paris,hybrid_weighted_sum,5,Annales school,352,the annales school () is a group of historians associated with a style of historiography developed by french historians in the 20th century to stress long-term social history. it is named after its sc,0.8109591684631381,0.8965144157409668,0.8537367921020524,not_relevant
What country did Marie Curie emigrate from to study in Paris,hybrid_weighted_sum,6,Edna Lewis,8256,"edna regina lewis (april 13, 1916 – february 13, 2006) was a renowned  american chef, teacher, and author who helped refine the american view of southern cooking. she championed the use of fresh, in s",0.9649594227540583,0.7244369983673096,0.844698210560684,not_relevant
What country did Marie Curie emigrate from to study in Paris,hybrid_weighted_sum,7,Marie Spartali Stillman,7088,"marie stillman (née spartali) (greek: μαρία σπαρτάλη; 10 march 1844 – 6 march 1927) was a british member of the second generation of the pre-raphaelite brotherhood. of the pre-raphaelites, she had one",0.7496906557532316,0.911065936088562,0.8303782959208967,relevant
What country did Marie Curie emigrate from to study in Paris,hybrid_weighted_sum,8,Édouard Le Roy,5860,"édouard louis emmanuel julien le roy (; 18 june 1870 in paris – 10 november 1954 in paris) was a french philosopher and mathematician.  life le roy entered the école normale supérieure in 1892, and re",0.7936961850174117,0.8343645334243774,0.8140303592208946,partial
What country did Marie Curie emigrate from to study in Paris,hybrid_weighted_sum,9,Alexander Grothendieck,786,alexander grothendieck (; ; ; 28 march 1928 – 13 november 2014) was a french mathematician who became the leading figure in the creation of modern algebraic geometry. his research extended the scope o,0.8723009919249912,0.7439467310905457,0.8081238615077684,not_relevant
What country did Marie Curie emigrate from to study in Paris,hybrid_weighted_sum,10,Basel,2187,"basel ( , ), also known as basle ( ), is a city in northwestern switzerland on the river rhine. basel is switzerland's third-most-populous city (after zürich and geneva), with 177,595 inhabitants with",0.7639427498966442,0.8451581001281738,0.804550425012409,not_relevant
What country did Marie Curie emigrate from to study in Paris,hybrid_rrf,1,Edith Somerville,7328,"edith anna œnone somerville (2 may 1858 – 8 october 1949) was an irish novelist who habitually signed herself as ""e. œ. somerville"". she wrote in collaboration with her cousin ""martin ross"" (violet ma",0.8546583945589559,0.9152641296386719,0.022037652270210407,not_relevant
What country did Marie Curie emigrate from to study in Paris,hybrid_rrf,2,Edna Lewis,8256,"edna regina lewis (april 13, 1916 – february 13, 2006) was a renowned  american chef, teacher, and author who helped refine the american view of southern cooking. she championed the use of fresh, in s",0.9649594227540583,0.7244369983673096,0.019518327378589388,not_relevant
What country did Marie Curie emigrate from to study in Paris,hybrid_rrf,3,Alexis Carrel,235,alexis carrel (; 28 june 1873 – 5 november 1944) was a french surgeon and biologist who was awarded the nobel prize in physiology or medicine in 1912 for pioneering vascular suturing techniques. he in,0.8163529769273555,0.9190691709518433,0.018607979960636966,not_relevant
What country did Marie Curie emigrate from to study in Paris,hybrid_rrf,4,The Ballad of the Green Berets,2102,"""the ballad of the green berets"" is a patriotic song in the ballad style about the united states army special forces. it is one of the few popular songs of the vietnam war years to cast the military i",1.0,0.3149716258049011,0.01639344262295082,not_relevant
What country did Marie Curie emigrate from to study in Paris,hybrid_rrf,5,Alain Connes,15,"alain connes (; born 1 april 1947 in draguignan) is a french mathematician, known for his contributions to the study of operator algebras and noncommutative geometry. he is a professor at the , , ohio",0.7444229703189552,0.9999998807907104,0.01639344262295082,partial
What country did Marie Curie emigrate from to study in Paris,hybrid_rrf,6,Economy of Angola,81,"the economy of angola remains heavily influenced by the effects of four decades of conflict in the last part of the 20th century, the war for independence from portugal (1961–75) and the subsequent ci",0.9919639172466393,0.40019285678863525,0.016129032258064516,partial
What country did Marie Curie emigrate from to study in Paris,hybrid_rrf,7,Erika Böhm-Vitense,2796,"erika helga ruth böhm-vitense (june 3, 1923 – january 21, 2017) was a german-born american astrophysicist known for her work on cepheid variables and convection in stellar atmospheres.  early life böh",0.6107961733612758,0.9827466011047363,0.016129032258064516,not_relevant
What country did Marie Curie emigrate from to study in Paris,hybrid_rrf,8,Genetically modified maize,1968,"genetically modified maize (corn) is a genetically modified crop. specific maize strains have been genetically engineered to express agriculturally-desirable traits, including resistance to pests and ",0.9767730294985892,0.4166838526725769,0.015873015873015872,not_relevant
What country did Marie Curie emigrate from to study in Paris,hybrid_rrf,9,Anne Catherine of Brandenburg,5676,anne catherine of brandenburg (26 june 1575 – 8 april 1612) was queen of denmark and norway from 1597 to 1612 as the first spouse of king christian iv of denmark.  life  anne catherine was born in hal,0.606427036466962,0.9532136917114258,0.015873015873015872,partial
What country did Marie Curie emigrate from to study in Paris,hybrid_rrf,10,Gustav Simon,7464,"gustav simon (2 august 1900– 18 december 1945) was a nazi party official who served as gauleiter of gau moselland from 1931 to 1945 and, from 1940 until 1942, as chief of civil administration in occup",0.9751196831071857,0.6093245148658752,0.015625,partial
Year the Berlin Wall fell,bm25_only,1,Glanrhyd Bridge collapse,3685,"on 19 october 1987, a train on the heart of wales line derailed and fell into the river towy due to the partial collapse of the glanrhyd bridge near llandeilo, carmarthenshire. four people died as a r",1.0,0.6199092268943787,1.0,partial
Year the Berlin Wall fell,bm25_only,2,North American blizzard of 2006,3534,"the north american blizzard of 2006 was a nor'easter that began on the evening of february 11, 2006. it dumped heavy snow across the mid-atlantic and new england states, from virginia to maine through",0.9897714731188153,0.40794989466667175,0.9897714731188153,not_relevant
Year the Berlin Wall fell,bm25_only,3,New Haven County Cutters,4488,"the new haven county cutters were an independent baseball team based in new haven, connecticut. from 2004 through 2007, the cutters played in the canadian-american association of professional baseball",0.9728114539283625,0.21228332817554474,0.9728114539283625,not_relevant
Year the Berlin Wall fell,bm25_only,4,Adolphe Sax,1345,"antoine-joseph ""adolphe"" sax (; 6 november 1814 –  7 february 1894) was a belgian inventor and musician who invented the saxophone in the early 1840s, patenting it in 1846. he also invented the saxotr",0.9614081879337134,0.4373018145561218,0.9614081879337134,not_relevant
Year the Berlin Wall fell,bm25_only,5,Afghan Turkestan,1096,"afghan turkestan, also known as southern turkestan, is a region in northern afghanistan, on the border with the former soviet republics of turkmenistan, uzbekistan and tajikistan. in the 19th century,",0.9456848539923192,0.299629807472229,0.9456848539923192,not_relevant
Year the Berlin Wall fell,bm25_only,6,Main battery,8062,"a main battery is the primary weapon or group of weapons around which a warship is designed.  as such, a main battery was historically a gun or group of guns, as in the broadsides of cannon on a ship ",0.9412486888758573,0.26129278540611267,0.9412486888758573,not_relevant
Year the Berlin Wall fell,bm25_only,7,The Committee,5449,"the committee may refer to any of the following:  the committee (improv group), a san francisco-based improvisational comedy group the committee (film), a 1968 independent film directed by peter sykes",0.9240040667630147,0.3300713896751404,0.9240040667630147,not_relevant
Year the Berlin Wall fell,bm25_only,8,William Heaton Cooper,4168,"william heaton cooper ra (6 october 1903 – 1995) was an english impressionistic landscape artist who worked predominantly in watercolours, most famous for his paintings of the lake district. since the",0.9198286074264178,0.4093107283115387,0.9198286074264178,not_relevant
Year the Berlin Wall fell,bm25_only,9,Edward Craven Walker,9338,"edward craven walker (4 july 1918 – 15 august 2000) was a british inventor, who invented the psychedelic astro lamp, also known as the lava lamp.  war record craven was a pilot in world war ii, flying",0.9162767151591474,0.3099098801612854,0.9162767151591474,not_relevant
Year the Berlin Wall fell,bm25_only,10,"Gilbert Talbot, 7th Earl of Shrewsbury",9252,"gilbert talbot, 7th earl of shrewsbury, 7th earl of waterford, 13th baron talbot, kg (20 november 1552 – 8 may 1616), styled lord talbot from 1582 to 1590, was a peer in the peerage of england. he als",0.9121124624259188,0.25071945786476135,0.9121124624259188,not_relevant
Year the Berlin Wall fell,dense_only,1,Berlin Wall,1561,"the berlin wall (, ) was a guarded concrete barrier that encircled west berlin of the federal republic of germany (frg; west germany) from 1961 to 1989, separating it from east berlin and the german d",0.5577383005286711,1.0,1.0,relevant
Year the Berlin Wall fell,dense_only,2,Alexanderplatz,1026,"() () is a large public square and transport hub in the central mitte district of berlin. the square is named after the russian tsar alexander i, which also denotes the larger neighbourhood stretching",0.4956142447434167,0.8827711343765259,0.8827711343765259,partial
Year the Berlin Wall fell,dense_only,3,Sender Freies Berlin,8952,sender freies berlin (; abbreviated sfb ; ) was the ard public radio and television service for west berlin from 1 june 1954 until 1990 and for berlin as a whole from german reunification until 30 apr,0.4898642152006117,0.8304988145828247,0.8304988145828247,relevant
Year the Berlin Wall fell,dense_only,4,Cold War (1948–1953),2310,the cold war (1948–1953) is the period within the cold war from the incapacitation of the allied control council in 1948 to the conclusion of the korean war in 1953.  the list of world leaders in thes,0.49427794342827713,0.8248518705368042,0.8248518705368042,not_relevant
Year the Berlin Wall fell,dense_only,5,Warschauer Straße (Berlin U-Bahn),8569,warschauer straße is the eastern terminus station of lines u1 and u3 of the berlin u-bahn.  history  designed by paul wittig under contract with siemens & halske and opened on 17 august 1902 under the,0.4903573102485885,0.824461817741394,0.824461817741394,relevant
Year the Berlin Wall fell,dense_only,6,Miracle of the House of Brandenburg,4901,the miracle of the house of brandenburg is the name given by frederick ii of prussia to the failure of russia and austria to follow up their victory over him at the battle of kunersdorf on 12 august 1,0.49154962233659333,0.802090048789978,0.802090048789978,not_relevant
Year the Berlin Wall fell,dense_only,7,Marcel Berlins,7197,"marcel berlins (30 october 1941 – 31 july 2019) was a french-born lawyer, legal commentator, author, broadcaster and columnist. he was best known for his work in the united kingdom, writing for britis",0.49109604589733635,0.741745114326477,0.741745114326477,relevant
