query,doc_title,relevant
Capital city of Australia,"Austin, Texas",1
Capital city of Australia,Australian Capital Territory,2
Capital city of Australia,Australian English,2
Capital city of Australia,Australian Labor Party,2
Capital city of Australia,Baku,1
Capital city of Australia,Ballarat,1
Capital city of Australia,Barcelona,1
Capital city of Australia,Battery Park City,2
Capital city of Australia,Byzantium,1
Capital city of Australia,City of Palaces (ship),2
Capital city of Australia,City of Sydney Library,2
Capital city of Australia,Clunia,1
Capital city of Australia,"Customs House, Sydney",0
Capital city of Australia,Electoral district of Coffs Harbour,1
Capital city of Australia,Electoral district of Coogee,1
Capital city of Australia,Electoral district of Kiama,1
Capital city of Australia,Electoral district of Lake Macquarie,1
Capital city of Australia,Electoral district of Macquarie Fields,1
Capital city of Australia,"Elizabeth Street, Sydney",1
Capital city of Australia,List of nursing schools in the United States,0
Capital city of Australia,Newspapers in Australia,2
Capital city of Australia,North Australia,2
Capital city of Australia,"Novomoskovsk, Ukraine",1
Capital city of Australia,Rheda-Wiedenbrück,1
First human landing on the Moon mission name,Apollo 1,1
First human landing on the Moon mission name,Apollo 10,1
First human landing on the Moon mission name,Apollo 11,1
First human landing on the Moon mission name,Apollo 12,1
First human landing on the Moon mission name,Apollo 14,1
First human landing on the Moon mission name,Apollo 15,1
First human landing on the Moon mission name,Apollo 16,1
First human landing on the Moon mission name,Apollo 17,1
First human landing on the Moon mission name,Apollo 8,1
First human landing on the Moon mission name,Apollo 9,1
First human landing on the Moon mission name,Apollo program,1
First human landing on the Moon mission name,Colonization of the asteroid belt,1
First human landing on the Moon mission name,Flight controller,1
Founder of the Microsoft Corporation,AOL,0
Founder of the Microsoft Corporation,Abbot,0
Founder of the Microsoft Corporation,Act of Settlement 1701,0
Founder of the Microsoft Corporation,Admiralty (United Kingdom),0
Founder of the Microsoft Corporation,Apple Inc.,0
Founder of the Microsoft Corporation,Bank of Italy,0
Founder of the Microsoft Corporation,Bayonne,0
Founder of the Microsoft Corporation,Bill Gates,1
Founder of the Microsoft Corporation,Bob Frankston,1
Founder of the Microsoft Corporation,Bob Young (businessman),0
Founder of the Microsoft Corporation,Book of Common Prayer,0
Founder of the Microsoft Corporation,Book of Mormon,0
Founder of the Microsoft Corporation,Borland,1
Founder of the Microsoft Corporation,Burroughs Corporation,2
Founder of the Microsoft Corporation,"Eastern University, Sri Lanka",0
Founder of the Microsoft Corporation,General Roman Calendar of 1954,0
Founder of the Microsoft Corporation,Geography of Africa,0
Founder of the Microsoft Corporation,Harbour Group,0
Founder of the Microsoft Corporation,Larry Brilliant,0
Founder of the Microsoft Corporation,Marc Seriff,1
Founder of the Microsoft Corporation,Michael Howard (Microsoft),2
Founder of the Microsoft Corporation,MyLackey.com,0
Fourier transform signal decomposition frequency domain,Additive synthesis,1
Fourier transform signal decomposition frequency domain,Adenylyl cyclase,0
Fourier transform signal decomposition frequency domain,Amplitude modulation,1
Fourier transform signal decomposition frequency domain,Analog television,1
Fourier transform signal decomposition frequency domain,Audio,1
Fourier transform signal decomposition frequency domain,Audio signal processing,2
Fourier transform signal decomposition frequency domain,Autocorrelation,1
Fourier transform signal decomposition frequency domain,Bandwidth (signal processing),2
Fourier transform signal decomposition frequency domain,Bilinear transform,2
Fourier transform signal decomposition frequency domain,CFRY,0
Fourier transform signal decomposition frequency domain,CHPO-FM,1
Fourier transform signal decomposition frequency domain,CIBL-FM,0
Fourier transform signal decomposition frequency domain,CILG-FM,0
Fourier transform signal decomposition frequency domain,CKFI,0
Fourier transform signal decomposition frequency domain,CKMW-FM,0
Fourier transform signal decomposition frequency domain,CKSW,0
Fourier transform signal decomposition frequency domain,Nachbin's theorem,0
Fourier transform signal decomposition frequency domain,Optical transfer function,0
Fourier transform signal decomposition frequency domain,Richard Blahut,0
Fourier transform signal decomposition frequency domain,Transition band,1
Fourier transform signal decomposition frequency domain,WDTW (AM),0
Hamming distance error correcting codes binary,ASCII,1
Hamming distance error correcting codes binary,Antares,0
Hamming distance error correcting codes binary,Astrometry,0
Hamming distance error correcting codes binary,Baudot code,0
Hamming distance error correcting codes binary,Binary,2
Hamming distance error correcting codes binary,Binary prefix,2
Hamming distance error correcting codes binary,Binary search algorithm,2
Hamming distance error correcting codes binary,Binary-coded decimal,2
Hamming distance error correcting codes binary,Bit,1
Hamming distance error correcting codes binary,Bletchley Park,0
Hamming distance error correcting codes binary,Byte,0
Hamming distance error correcting codes binary,Character encoding,0
Hamming distance error correcting codes binary,Cipher,0
Hamming distance error correcting codes binary,Code,0
Hamming distance error correcting codes binary,Control character,0
Hamming distance error correcting codes binary,Lunar distance (navigation),2
Hamming distance error correcting codes binary,Mass-to-light ratio,0
Hamming distance error correcting codes binary,Richard Blahut,0
Height of Mount Everest in metres,100 metres hurdles,2
Height of Mount Everest in metres,2011 World Championships in Athletics,0
Height of Mount Everest in metres,Alps,1
Height of Mount Everest in metres,Andes,1
Height of Mount Everest in metres,Area,0
Height of Mount Everest in metres,Ben Nevis,1
Height of Mount Everest in metres,Chronic mountain sickness,2
Height of Mount Everest in metres,D'Oyly Carte Island,0
Height of Mount Everest in metres,Fichtelberg,1
Height of Mount Everest in metres,Geography of Africa,0
Height of Mount Everest in metres,Geography of Antarctica,0
Height of Mount Everest in metres,Illawarra escarpment,1
Height of Mount Everest in metres,Ireen Wüst,0
Height of Mount Everest in metres,Jeff Rouse,0
Height of Mount Everest in metres,John Kinsella (swimmer),0
Height of Mount Everest in metres,Joyce King,0
Height of Mount Everest in metres,Lawrence College Ghora Gali,1
Height of Mount Everest in metres,Le Jingyi,1
Height of Mount Everest in metres,Lookout Mountain Incline Railway,2
Height of Mount Everest in metres,Nick Gillingham,0
Height of Mount Everest in metres,Nideggen,0
Height of Mount Everest in metres,Piz Platta,1
Height of Mount Everest in metres,Rajghat Dam,0
Height of Mount Everest in metres,The Man Who Skied Down Everest,2
Height of Mount Everest in metres,Wulugu,0
How did the Industrial Revolution change labour conditions,2001 United Kingdom general election,1
How did the Industrial Revolution change labour conditions,Agriculture,0
How did the Industrial Revolution change labour conditions,Alfred Madsen,1
How did the Industrial Revolution change labour conditions,Australian Labor Party,0
How did the Industrial Revolution change labour conditions,British Steel (1967–1999),0
How did the Industrial Revolution change labour conditions,Butterfly effect,1
How did the Industrial Revolution change labour conditions,Clement Attlee,1
How did the Industrial Revolution change labour conditions,Deglobalization,0
How did the Industrial Revolution change labour conditions,Frederick Hayday,1
How did the Industrial Revolution change labour conditions,Freedom of movement for workers in the European Union,0
How did the Industrial Revolution change labour conditions,History of the Socialist Workers Party (Britain),0
How did the Industrial Revolution change labour conditions,Liberal Party (UK),0
How did the Industrial Revolution change labour conditions,Olav Meisdalshagen,1
How did the Industrial Revolution change labour conditions,Paurina Mpariwa,0
How did the Industrial Revolution change labour conditions,SME (society),0
How did the Industrial Revolution change labour conditions,Social dumping,1
How did the Industrial Revolution change labour conditions,The Changes (TV series),2
How did the Industrial Revolution change labour conditions,Workers' Unity League,1
How did the printing press change the spread of information,ASCII art,0
How did the printing press change the spread of information,Aldine Press,2
How did the printing press change the spread of information,Alvin Toffler,0
How did the printing press change the spread of information,Arabic alphabet,0
How did the printing press change the spread of information,Arabic numerals,0
How did the printing press change the spread of information,Asheville Citizen-Times,0
How did the printing press change the spread of information,Australasian Post,0
How did the printing press change the spread of information,Blotting paper,0
How did the printing press change the spread of information,Book,1
How did the printing press change the spread of information,Boston Herald,0
How did the printing press change the spread of information,British English,0
How did the printing press change the spread of information,Cleveland Press,2
How did the printing press change the spread of information,Control character,1
How did the printing press change the spread of information,Copyright,0
How did the printing press change the spread of information,List of newspapers in Slovenia,0
How did the printing press change the spread of information,Luther Bible,0
How did the printing press change the spread of information,Ministry for the Press and the Media,2
How did the printing press change the spread of information,Newspapers in Australia,0
How did the printing press change the spread of information,Newspapers in Israel,0
How did the printing press change the spread of information,Print Gocco,1
How did the printing press change the spread of information,Printer (computing),0
How did the printing press change the spread of information,The Guardian Weekly,0
How did the printing press change the spread of information,The World Factbook,1
How do black holes form from collapsing stars,Aldebaran,0
How do black holes form from collapsing stars,Algol,0
How do black holes form from collapsing stars,Altair,1
How do black holes form from collapsing stars,Amy Barger,1
How do black holes form from collapsing stars,Anaximander,0
How do black holes form from collapsing stars,Antlia,1
How do black holes form from collapsing stars,Apus,0
How do black holes form from collapsing stars,Barnard's Star,1
How do black holes form from collapsing stars,Big Bang,1
How do black holes form from collapsing stars,Black,2
How do black holes form from collapsing stars,Black Star (rap duo),2
How do black holes form from collapsing stars,Black hole,2
How do black holes form from collapsing stars,Blade Runner 2: The Edge of Human,0
How do black holes form from collapsing stars,Capricornus,1
How do black holes form from collapsing stars,Catharine Garmany,1
How do black holes form from collapsing stars,Inflation (cosmology),0
How do black holes form from collapsing stars,NGC 1309,0
How do black holes form from collapsing stars,NGC 7217,1
How do black holes form from collapsing stars,Physical cosmology,0
How do black holes form from collapsing stars,Stone wrist-guard,1
How do black holes form from collapsing stars,Turhal,1
How do black holes form from collapsing stars,Vela Pulsar,0
How do vaccines produce immunity in the human body,Abzyme,1
How do vaccines produce immunity in the human body,Antibody,2
How do vaccines produce immunity in the human body,Antigen,1
How do vaccines produce immunity in the human body,Antimicrobial resistance,0
How do vaccines produce immunity in the human body,Aquaculture,0
How do vaccines produce immunity in the human body,BCG vaccine,0
How do vaccines produce immunity in the human body,Bacillus thuringiensis,0
How do vaccines produce immunity in the human body,Bacteriophage,0
How do vaccines produce immunity in the human body,Biotechnology,0
How do vaccines produce immunity in the human body,Bioterrorism,0
How do vaccines produce immunity in the human body,Blood,1
How do vaccines produce immunity in the human body,Breast,0
How do vaccines produce immunity in the human body,Causes of autism,0
How do vaccines produce immunity in the human body,Cyanide,0
How do vaccines produce immunity in the human body,Dicrocoelium dendriticum,0
How do vaccines produce immunity in the human body,Human reproduction,2
How do vaccines produce immunity in the human body,Leukocyte-promoting factor,1
How do vaccines produce immunity in the human body,National League for Liberty in Vaccination,0
How do vaccines produce immunity in the human body,Neuroimmune system,0
How do vaccines produce immunity in the human body,Neuroimmunology,0
How do vaccines produce immunity in the human body,Plague (disease),0
How does CRISPR gene editing technology work,Adobe Inc.,0
How does CRISPR gene editing technology work,Ames test,0
How does CRISPR gene editing technology work,Andy Miah,1
How does CRISPR gene editing technology work,ArgoUML,0
How does CRISPR gene editing technology work,Bacterial conjugation,1
How does CRISPR gene editing technology work,Base pair,0
How does CRISPR gene editing technology work,Bill Joy,0
How does CRISPR gene editing technology work,Bioinformatics,0
How does CRISPR gene editing technology work,Biostatistics,0
How does CRISPR gene editing technology work,Biotechnology,2
How does CRISPR gene editing technology work,Burnt-in timecode,0
How does CRISPR gene editing technology work,Claude Alvares,0
How does CRISPR gene editing technology work,Genetic analysis,2
How does CRISPR gene editing technology work,Genetically modified maize,2
How does CRISPR gene editing technology work,Ligation,0
How does CRISPR gene editing technology work,New Paltz High School,0
How does CRISPR gene editing technology work,Rolling circle replication,0
How does CRISPR gene editing technology work,TED Notepad,0
How does CRISPR gene editing technology work,Tetracycline-controlled transcriptional activation,1
How does CRISPR gene editing technology work,Transgene,2
How does CRISPR gene editing technology work,Trypsinization,0
How does CRISPR gene editing technology work,Zebrafish,0
How does natural selection drive speciation,Adaptive radiation,0
How does natural selection drive speciation,Alfred Russel Wallace,1
How does natural selection drive speciation,Anthropic principle,1
How does natural selection drive speciation,Artificial creation,0
How does natural selection drive speciation,Biostatistics,0
How does natural selection drive speciation,Bird,0
How does natural selection drive speciation,Canadian Environmental Network,0
How does natural selection drive speciation,Cladistics,0
How does natural selection drive speciation,Combination,1
How does natural selection drive speciation,Common descent,0
How does natural selection drive speciation,Evolutionary developmental psychology,1
How does natural selection drive speciation,Flock of Dodos,0
How does natural selection drive speciation,Flowering Plants: Evolution Above the Species Level,0
How does natural selection drive speciation,Helen Fisher (anthropologist),0
How does natural selection drive speciation,Mexican tetra,0
How does natural selection drive speciation,Outline of biology,1
How does natural selection drive speciation,Parallel ATA,0
How does natural selection drive speciation,Selection coefficient,2
How does natural selection drive speciation,Transgene,1
How does natural selection drive speciation,Yellow-bellied toad,0
How does the human immune system recognise pathogens,Abzyme,0
How does the human immune system recognise pathogens,Antibiotic,0
How does the human immune system recognise pathogens,Antibody,1
How does the human immune system recognise pathogens,Antigen,0
How does the human immune system recognise pathogens,BCG vaccine,0
How does the human immune system recognise pathogens,Bacterial vaginosis,0
How does the human immune system recognise pathogens,Bacteriophage,0
How does the human immune system recognise pathogens,Biological warfare,1
How does the human immune system recognise pathogens,Bioterrorism,0
How does the human immune system recognise pathogens,Dicrocoelium dendriticum,0
How does the human immune system recognise pathogens,Leukocyte-promoting factor,0
How does the human immune system recognise pathogens,Neuroimmune system,2
How does the human immune system recognise pathogens,Neuroimmunology,1
How does the human immune system recognise pathogens,Outline of biology,0
How does the human immune system recognise pathogens,Paratyphoid fever,0
How does the human immune system recognise pathogens,Plague (disease),0
How does the human immune system recognise pathogens,Zebrafish,0
How does the internet route data packets,AppleTalk,0
How does the internet route data packets,Asynchronous Transfer Mode,0
How does the internet route data packets,Asynchronous communication,1
How does the internet route data packets,Bandwidth (signal processing),0
How does the internet route data packets,Bluetooth,1
How does the internet route data packets,Buffer overflow,1
How does the internet route data packets,Bulletin board system,0
How does the internet route data packets,Data architecture,2
How does the internet route data packets,HSTCP,0
How does the internet route data packets,Link Access Procedure for Modems,1
How does the internet route data packets,Link Layer Discovery Protocol,0
How does the internet route data packets,Marabunta (software),1
How does the internet route data packets,NAT Port Mapping Protocol,0
How does the internet route data packets,Packet loss concealment,1
How does the internet route data packets,Type–length–value,1
How does the internet route data packets,Wireless broadband,1
Krebs cycle mechanism citric acid intermediates,Acid,2
Krebs cycle mechanism citric acid intermediates,Adenosine triphosphate,0
Krebs cycle mechanism citric acid intermediates,Adenylyl cyclase,0
Krebs cycle mechanism citric acid intermediates,Amino acid,2
Krebs cycle mechanism citric acid intermediates,Antacid,2
Krebs cycle mechanism citric acid intermediates,Base pair,1
Krebs cycle mechanism citric acid intermediates,Benzoic acid,2
Krebs cycle mechanism citric acid intermediates,Beta-lactamase,0
Krebs cycle mechanism citric acid intermediates,Biochemistry,0
Krebs cycle mechanism citric acid intermediates,Bioleaching,0
Krebs cycle mechanism citric acid intermediates,Catalysis,0
Krebs cycle mechanism citric acid intermediates,Chlorine,0
Krebs cycle mechanism citric acid intermediates,Combustion,0
Krebs cycle mechanism citric acid intermediates,Fatty acid desaturase,2
Krebs cycle mechanism citric acid intermediates,Glycol cleavage,0
Krebs cycle mechanism citric acid intermediates,Histidine decarboxylase,0
Krebs cycle mechanism citric acid intermediates,K252a,0
Krebs cycle mechanism citric acid intermediates,Keratan sulfate,0
Krebs cycle mechanism citric acid intermediates,MAFA,0
Krebs cycle mechanism citric acid intermediates,Phosphatidylserine,1
Krebs cycle mechanism citric acid intermediates,Potassium 2-ethylhexanoate,1
Krebs cycle mechanism citric acid intermediates,Rolling circle replication,1
Krebs cycle mechanism citric acid intermediates,Streptomyces clavuligerus,1
Nash equilibrium game theory mixed strategy,Acid–base reaction,0
Nash equilibrium game theory mixed strategy,Acquire,1
Nash equilibrium game theory mixed strategy,Backgammon,1
Nash equilibrium game theory mixed strategy,Badminton,1
Nash equilibrium game theory mixed strategy,Basic Role-Playing,1
Nash equilibrium game theory mixed strategy,Birger Meidell,0
Nash equilibrium game theory mixed strategy,Blackjack,1
Nash equilibrium game theory mixed strategy,Board game,2
Nash equilibrium game theory mixed strategy,Capitalism,0
Nash equilibrium game theory mixed strategy,Chemical equilibrium,2
Nash equilibrium game theory mixed strategy,Chess,1
Nash equilibrium game theory mixed strategy,Contract bridge,1
Nash equilibrium game theory mixed strategy,David Marks (psychologist),0
Nash equilibrium game theory mixed strategy,Dots and boxes,1
Nash equilibrium game theory mixed strategy,Hitler's War (game),2
Nash equilibrium game theory mixed strategy,Nine-a-side footy,1
Nash equilibrium game theory mixed strategy,Sid Meier's Alpha Centauri,1
Nash equilibrium game theory mixed strategy,Storm Across Europe,1
Nash equilibrium game theory mixed strategy,The Plot,1
Nash equilibrium game theory mixed strategy,Think Twice (game show),2
PageRank algorithm link analysis web graph,Advanced Encryption Standard,0
PageRank algorithm link analysis web graph,Algorithm,2
PageRank algorithm link analysis web graph,Algorithms (journal),2
PageRank algorithm link analysis web graph,Analysis of algorithms,2
PageRank algorithm link analysis web graph,Andy Carvin,0
PageRank algorithm link analysis web graph,Asynchronous Transfer Mode,0
PageRank algorithm link analysis web graph,B-tree,0
PageRank algorithm link analysis web graph,Binary search tree,0
PageRank algorithm link analysis web graph,Boolean satisfiability problem,0
PageRank algorithm link analysis web graph,Brian Kernighan,0
PageRank algorithm link analysis web graph,Combinatorics,0
PageRank algorithm link analysis web graph,Constraint satisfaction dual problem,0
PageRank algorithm link analysis web graph,Everyone's a Critic,1
PageRank algorithm link analysis web graph,IceRocket,0
PageRank algorithm link analysis web graph,Kosaraju's algorithm,2
PageRank algorithm link analysis web graph,Multiple sequence alignment,0
PageRank algorithm link analysis web graph,Pareto chart,1
PageRank algorithm link analysis web graph,Search engine,0
PageRank algorithm link analysis web graph,Spam mass,1
PageRank algorithm link analysis web graph,TEK search engine,0
PageRank algorithm link analysis web graph,Ukkonen's algorithm,2
Population of Tokyo metropolitan area,Adelaide,0
Population of Tokyo metropolitan area,Agora Theatre and Ballroom,0
Population of Tokyo metropolitan area,Area codes in Mexico by code (0-99),2
Population of Tokyo metropolitan area,Athens,1
Population of Tokyo metropolitan area,Borough,0
Population of Tokyo metropolitan area,Brandenburg,0
Population of Tokyo metropolitan area,California,1
Population of Tokyo metropolitan area,Edmundo Valenzuela,1
Population of Tokyo metropolitan area,Hakatanomori Athletic Stadium,0
Population of Tokyo metropolitan area,Iwaki Green Stadium,0
Population of Tokyo metropolitan area,Iwate Morioka Stadium,0
Population of Tokyo metropolitan area,Kiyohara Baseball Stadium,0
Population of Tokyo metropolitan area,Koshin Gom Athlete Park Sendai,0
Population of Tokyo metropolitan area,"Kumru, Ordu",1
Population of Tokyo metropolitan area,Lüliang,0
Population of Tokyo metropolitan area,Majna,0
Population of Tokyo metropolitan area,Manyas,1
Population of Tokyo metropolitan area,Medellín Metro,1
Population of Tokyo metropolitan area,New National Theatre Tokyo,2
Population of Tokyo metropolitan area,Quebec City Area,2
Population of Tokyo metropolitan area,Quebec City metropolitan community,2
Population of Tokyo metropolitan area,Sun Marine Stadium,0
Population of Tokyo metropolitan area,Telephone numbers in Brazil,1
Population of Tokyo metropolitan area,Toyama Municipal Baseball Stadium Alpen Stadium,0
Population of Tokyo metropolitan area,Yokohama Chinatown,1
Treaty that ended World War One,American Revolutionary War,0
Treaty that ended World War One,Antarctic Treaty System,2
Treaty that ended World War One,Anti-Ballistic Missile Treaty,2
Treaty that ended World War One,Argentine Workers' Central Union,0
Treaty that ended World War One,Balkan Wars,1
Treaty that ended World War One,Battle of Lostwithiel,0
Treaty that ended World War One,Canada–United States relations,0
Treaty that ended World War One,Cao Song,0
Treaty that ended World War One,Club Paradise,0
Treaty that ended World War One,Cold War (1948–1953),1
Treaty that ended World War One,Dorin Goian,0
Treaty that ended World War One,Foreign relations of Croatia,1
Treaty that ended World War One,Foreign relations of the Czech Republic,0
Treaty that ended World War One,Germany–Russia relations,1
Treaty that ended World War One,Germany–United Kingdom relations,1
Treaty that ended World War One,History of Germany during World War I,2
Treaty that ended World War One,IWK Health Centre,1
Treaty that ended World War One,Italian War of 1536–1538,0
Treaty that ended World War One,Luke Joyce,0
Treaty that ended World War One,Operation Displace,1
Treaty that ended World War One,Something Fishy,0
Treaty that ended World War One,To a Southern Slaveholder,0
Treaty that ended World War One,Treaty of Alfred and Guthrum,2
Treaty that ended World War One,Yaoundé Convention,0
What caused the 2008 global financial crisis,Betsy Stark,1
What caused the 2008 global financial crisis,Deglobalization,2
What caused the 2008 global financial crisis,Disaster convergence,0
What caused the 2008 global financial crisis,Economy of Angola,0
What caused the 2008 global financial crisis,Economy of Armenia,0
What caused the 2008 global financial crisis,Economy of Bosnia and Herzegovina,0
What caused the 2008 global financial crisis,Economy of Brunei,0
What caused the 2008 global financial crisis,Economy of Chile,0
What caused the 2008 global financial crisis,Economy of Croatia,0
What caused the 2008 global financial crisis,Economy of Cyprus,0
What caused the 2008 global financial crisis,Economy of the British Virgin Islands,0
What caused the 2008 global financial crisis,Economy of the Cayman Islands,1
What caused the 2008 global financial crisis,Economy of the Czech Republic,0
What caused the 2008 global financial crisis,Extreme poverty,0
What caused the 2008 global financial crisis,Foreign Exchange (PBS TV program),0
What caused the 2008 global financial crisis,John Bellamy Foster,0
What caused the 2008 global financial crisis,Korea Development Institute,0
What caused the 2008 global financial crisis,List of newspapers in Kuwait,0
What caused the 2008 global financial crisis,List of political scandals in the United Kingdom,0
What caused the 2008 global financial crisis,Vision 2010,0
What causes the northern lights aurora borealis,APL,0
What causes the northern lights aurora borealis,Aberration (astronomy),0
What causes the northern lights aurora borealis,Afterglow,0
What causes the northern lights aurora borealis,Anders Celsius,0
What causes the northern lights aurora borealis,Animal (disambiguation),0
What causes the northern lights aurora borealis,Antarctic Circumpolar Current,0
What causes the northern lights aurora borealis,Antlia,0
What causes the northern lights aurora borealis,Arctic Norway,1
What causes the northern lights aurora borealis,Arcturus,1
What causes the northern lights aurora borealis,Aries (constellation),1
What causes the northern lights aurora borealis,Australis,0
What causes the northern lights aurora borealis,Autumn,1
What causes the northern lights aurora borealis,Blizzard of 2006,0
What causes the northern lights aurora borealis,Boötes,1
What causes the northern lights aurora borealis,Canvention,1
What causes the northern lights aurora borealis,County Fermanagh,1
What causes the northern lights aurora borealis,Fredrik Monsen,0
What causes the northern lights aurora borealis,Interior Alaska,0
What causes the northern lights aurora borealis,McKinney National Airport,0
What causes the northern lights aurora borealis,Nordvågen,0
What causes the northern lights aurora borealis,North Warren Regional High School,0
What causes the northern lights aurora borealis,Northern spotted owl,2
What causes the northern lights aurora borealis,Platymantis,0
What causes the northern lights aurora borealis,SY Aurora,2
What causes the northern lights aurora borealis,Vela Pulsar,0
What country did Marie Curie emigrate from to study in Paris,Alain Connes,1
What country did Marie Curie emigrate from to study in Paris,Alexander Grothendieck,0
What country did Marie Curie emigrate from to study in Paris,Alexis Carrel,0
What country did Marie Curie emigrate from to study in Paris,Anaïs Nin,0
What country did Marie Curie emigrate from to study in Paris,Annales school,0
What country did Marie Curie emigrate from to study in Paris,Anne Catherine of Brandenburg,1
What country did Marie Curie emigrate from to study in Paris,Basel,0
What country did Marie Curie emigrate from to study in Paris,Boers,1
What country did Marie Curie emigrate from to study in Paris,Charlotte Amalie of Hesse-Kassel,0
What country did Marie Curie emigrate from to study in Paris,Collège Stanislas de Paris,2
What country did Marie Curie emigrate from to study in Paris,Economy of Angola,1
What country did Marie Curie emigrate from to study in Paris,Edith Somerville,0
What country did Marie Curie emigrate from to study in Paris,Edna Lewis,0
What country did Marie Curie emigrate from to study in Paris,Erika Böhm-Vitense,0
What country did Marie Curie emigrate from to study in Paris,Genetically modified maize,0
What country did Marie Curie emigrate from to study in Paris,Gustav Simon,1
What country did Marie Curie emigrate from to study in Paris,Health care prices in the United States,0
What country did Marie Curie emigrate from to study in Paris,Marie Spartali Stillman,2
What country did Marie Curie emigrate from to study in Paris,Pierre-Alexandre Monsigny,0
What country did Marie Curie emigrate from to study in Paris,Progressive Canadian Party candidates in the 2006 Canadian federal election,0
What country did Marie Curie emigrate from to study in Paris,Sophie Magdalene of Brandenburg-Kulmbach,0
What country did Marie Curie emigrate from to study in Paris,The Ballad of the Green Berets,0
What country did Marie Curie emigrate from to study in Paris,The Burrow (short story),0
What country did Marie Curie emigrate from to study in Paris,Tied aid,1
What country did Marie Curie emigrate from to study in Paris,Édouard Le Roy,1
What element has atomic number 79,Actinium,1
What element has atomic number 79,Alkali metal,1
What element has atomic number 79,Astatine,1
What element has atomic number 79,Atom,1
What element has atomic number 79,Atomic,2
What element has atomic number 79,Atomic absorption spectroscopy,2
What element has atomic number 79,Atomic number,2
What element has atomic number 79,Atomic orbital,2
What element has atomic number 79,Atomic physics,2
What element has atomic number 79,Beta decay,1
What element has atomic number 79,Bohrium,1
What element has atomic number 79,Caesium,1
What element has atomic number 79,Californium,1
What element has atomic number 79,Chalcogen,1
What element has atomic number 79,Chemical element,2
What element has atomic number 79,Curium,1
What is the role of mitochondria in cellular respiration,Adenosine triphosphate,0
What is the role of mitochondria in cellular respiration,Air sac,0
What is the role of mitochondria in cellular respiration,Antioxidant,0
What is the role of mitochondria in cellular respiration,Apoptosis,1
What is the role of mitochondria in cellular respiration,Bicarbonate,0
What is the role of mitochondria in cellular respiration,Biochemistry,0
What is the role of mitochondria in cellular respiration,Biological membrane,1
What is the role of mitochondria in cellular respiration,Blood,0
What is the role of mitochondria in cellular respiration,Botany,0
What is the role of mitochondria in cellular respiration,Cell (biology),0
What is the role of mitochondria in cellular respiration,Coma,0
What is the role of mitochondria in cellular respiration,Cytoplasm,0
What is the role of mitochondria in cellular respiration,Gleysol,0
What is the role of mitochondria in cellular respiration,Glutamate transporter,0
What is the role of mitochondria in cellular respiration,Katanin,0
What is the role of mitochondria in cellular respiration,Lamellipodium,0
What is the role of mitochondria in cellular respiration,MAFA,0
What is the role of mitochondria in cellular respiration,Photosynthetic efficiency,0
What is the role of mitochondria in cellular respiration,Trypsinization,0
What language is spoken in Brazil,Adamic language,2
What language is spoken in Brazil,Afrikaans,1
What language is spoken in Brazil,Afroasiatic languages,2
What language is spoken in Brazil,Arabic,1
What language is spoken in Brazil,Aragonese language,2
What language is spoken in Brazil,Aramaic,1
What language is spoken in Brazil,Austrian German,0
What language is spoken in Brazil,Bambara language,2
